open,high,low,close,barSize,date
123.2475,123.3075,123.2325,123.2775,MIN_15,2015-06-17 19:15:00
123.2775,123.2975,123.0825,123.1275,MIN_15,2015-06-17 19:30:00
123.1275,123.1525,123.07,123.0725,MIN_15,2015-06-17 19:45:00
123.0725,123.1675,123.0625,123.1525,MIN_15,2015-06-17 20:00:00
123.1525,123.1675,123.1275,123.1425,MIN_15,2015-06-17 20:15:00
123.1425,123.175,123.135,123.1525,MIN_15,2015-06-17 20:30:00
123.1525,123.165,123.095,123.1525,MIN_15,2015-06-17 20:45:00
123.1525,123.1525,123.0925,123.12,MIN_15,2015-06-17 21:00:00
123.12,123.1325,123.0925,123.1175,MIN_15,2015-06-17 21:15:00
123.1175,123.1175,123.0325,123.075,MIN_15,2015-06-17 21:30:00
123.075,123.1425,123.065,123.1,MIN_15,2015-06-17 21:45:00
123.1,123.1125,123.045,123.0575,MIN_15,2015-06-17 22:00:00
123.0575,123.0575,122.9225,122.935,MIN_15,2015-06-17 22:15:00
122.935,122.9775,122.8575,122.9125,MIN_15,2015-06-17 22:30:00
122.9125,122.9925,122.8625,122.9825,MIN_15,2015-06-17 22:45:00
122.9825,123.0025,122.935,122.96,MIN_15,2015-06-17 23:00:00
122.96,123.0375,122.9225,123.0325,MIN_15,2015-06-17 23:15:00
123.0325,123.0675,123.0125,123.0575,MIN_15,2015-06-17 23:30:00
123.0575,123.0875,123.0325,123.08,MIN_15,2015-06-17 23:45:00
123.08,123.1075,123.0025,123.0175,MIN_15,2015-06-18 00:00:00
123.0175,123.0225,122.9375,122.9575,MIN_15,2015-06-18 00:15:00
122.9575,122.9725,122.8525,122.8875,MIN_15,2015-06-18 00:30:00
122.8875,122.8975,122.7925,122.8625,MIN_15,2015-06-18 00:45:00
122.8625,122.865,122.7525,122.7725,MIN_15,2015-06-18 01:00:00
122.7725,122.7825,122.6675,122.7175,MIN_15,2015-06-18 01:15:00
122.7175,122.8025,122.6625,122.755,MIN_15,2015-06-18 01:30:00
122.755,122.8375,122.7075,122.8025,MIN_15,2015-06-18 01:45:00
122.8025,122.8175,122.7075,122.7075,MIN_15,2015-06-18 02:00:00
122.7075,122.7075,122.6075,122.6225,MIN_15,2015-06-18 02:15:00
122.6225,122.6675,122.6025,122.6225,MIN_15,2015-06-18 02:30:00
122.6225,122.6225,122.5575,122.5625,MIN_15,2015-06-18 02:45:00
122.5625,122.6075,122.5525,122.5875,MIN_15,2015-06-18 03:00:00
122.5875,122.6425,122.5525,122.6425,MIN_15,2015-06-18 03:15:00
122.6425,122.6775,122.6075,122.6775,MIN_15,2015-06-18 03:30:00
122.6775,122.7225,122.66,122.7025,MIN_15,2015-06-18 03:45:00
122.7025,122.7125,122.6325,122.6375,MIN_15,2015-06-18 04:00:00
122.6375,122.6375,122.5675,122.6075,MIN_15,2015-06-18 04:15:00
122.6075,122.6925,122.5725,122.6825,MIN_15,2015-06-18 04:30:00
122.6825,122.7125,122.6525,122.6725,MIN_15,2015-06-18 04:45:00
122.6725,122.7225,122.6725,122.7125,MIN_15,2015-06-18 05:00:00
122.7125,122.785,122.6575,122.7475,MIN_15,2015-06-18 05:15:00
122.7475,122.7475,122.4825,122.7025,MIN_15,2015-06-18 05:30:00
122.7025,122.7275,122.6425,122.7025,MIN_15,2015-06-18 05:45:00
122.7025,122.7775,122.6675,122.67,MIN_15,2015-06-18 06:00:00
122.67,122.7375,122.6675,122.7275,MIN_15,2015-06-18 06:15:00
122.7275,122.7425,122.6575,122.6625,MIN_15,2015-06-18 06:30:00
122.6625,122.7475,122.6625,122.715,MIN_15,2015-06-18 06:45:00
122.715,122.8925,122.715,122.8625,MIN_15,2015-06-18 07:00:00
122.8625,123.0275,122.8525,122.9925,MIN_15,2015-06-18 07:15:00
122.9925,123.0475,122.9625,123.0425,MIN_15,2015-06-18 07:30:00
123.0425,123.095,122.9775,122.9825,MIN_15,2015-06-18 07:45:00
122.9825,122.9925,122.8675,122.8675,MIN_15,2015-06-18 08:00:00
122.8675,122.9175,122.8075,122.8225,MIN_15,2015-06-18 08:15:00
122.8225,122.8725,122.8225,122.8575,MIN_15,2015-06-18 08:30:00
122.8575,122.9275,122.8575,122.87,MIN_15,2015-06-18 08:45:00
122.87,122.915,122.8675,122.9075,MIN_15,2015-06-18 09:00:00
122.9075,123.0775,122.9075,123.05,MIN_15,2015-06-18 09:15:00
123.05,123.1625,123.0375,123.09,MIN_15,2015-06-18 09:30:00
123.09,123.1425,123.0275,123.0275,MIN_15,2015-06-18 09:45:00
123.0275,123.06,122.975,123.0025,MIN_15,2015-06-18 10:00:00
123.0025,123.075,123.0025,123.0525,MIN_15,2015-06-18 10:15:00
123.0525,123.0875,123.0025,123.0025,MIN_15,2015-06-18 10:30:00
123.0025,123.0425,122.965,123.0425,MIN_15,2015-06-18 10:45:00
123.0425,123.0425,123.0,123.0125,MIN_15,2015-06-18 11:00:00
123.0125,123.02,122.955,122.9675,MIN_15,2015-06-18 11:15:00
122.9675,123.0025,122.9625,122.9825,MIN_15,2015-06-18 11:30:00
122.9825,123.0325,122.9825,123.0325,MIN_15,2015-06-18 11:45:00
123.0325,123.0475,122.97,122.9775,MIN_15,2015-06-18 12:00:00
122.9775,122.985,122.8875,122.8975,MIN_15,2015-06-18 12:15:00
122.8975,122.9375,122.835,122.8525,MIN_15,2015-06-18 12:30:00
122.8525,122.9125,122.8425,122.9075,MIN_15,2015-06-18 12:45:00
122.9075,122.9475,122.875,122.9225,MIN_15,2015-06-18 13:00:00
122.9225,122.9425,122.92,122.925,MIN_15,2015-06-18 13:15:00
122.925,122.9325,122.8875,122.905,MIN_15,2015-06-18 13:30:00
122.905,122.97,122.9025,122.9675,MIN_15,2015-06-18 13:45:00
122.96,122.96,122.9375,122.94,MIN_15,2015-06-18 14:15:00
122.94,122.97,122.9375,122.945,MIN_15,2015-06-18 14:30:00
